"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"L007",53.675,19.5,5.53014399846952,2,5.90621633630804,5,-0.171678730190092,5,26.4325,3,0.744323533254682,87,99.571096533488,33,101.219769305718,19,NA,11,105.678155512656,87,0.787721724452659,0.127196810114087,46,0.988493445577424,59,0.299652262538529,84,0.256128519892865,90,0.803407991524136,90,2.51713996593879,87,1.48378847543948,87,0.206189158465145,82,0.0141713230228549,82,2.20162823984701,87,0.256705156290445,89,1.10513289289778,87,0.879759014691808,91,0.130800670240579,92,0.354109828211309,93,0.327777412254452,93,53.5273642050974,17,1.02766402751128,18,1.02745586740975,18,4.870625,21,6.09375,25,1.20125,13,53.6117515267376,17,3.4167,36.5,1627.7292,79,1.9668,33,0.2296,24,24.125,52.5,1.07222222222222,80,1.5703,87,0.1536,61
"L008",51.8625,62.5,8.04204632821117,86,7.89987767787174,92,0.0809433021972153,92,52.186875,86,0.229468120741594,48,97.479639384394,70,99.1100586602275,39,NA,12,32.964729560807,48,1.11152155597469,0.0566550323382004,27,0.996875393588466,24,0.0895820052149229,41,0.147933367636756,62,0.464039876741168,62,1.3578600340612,46,0.828712977564295,48,0.109208804665088,35,0.00397552100545911,35,0.686765199183479,48,0.147979921257462,62,0.601484413399307,51,0.442089032490045,41,0.0706707058560415,58,0.194280375318855,61,0.177286786451191,58,51.6020616241573,64,0.991915236520037,64,0.991854668134317,64,11.6565625,63,10.8604166666667,51,14.045,74.5,51.7299915159617,64,5.3333,52.5,958.3333,46,9.9947,69,0.8042,62,23.5,48,0.427272727272727,49,0.4642,49,0.0924,48
"L009",51.55,72,7.37998726806273,62,7.14363779857977,46,-0.00645857810112987,46,43.42,55,0.0685152792419949,20,97.7358825062065,63,97.8107434155447,68,NA,13,10.2332359459397,20,1.01304539553291,0.0781364842709188,36,0.995255035741797,34,0.0400616256716789,22,0.0561247860297597,25,0.176020586807797,25,0.771687712658258,22,0.461727642166251,20,0.0905724264931835,25,0.00273445481362105,25,0.213192415540405,20,0.059116731836076,23,0.341310139357807,22,0.336162691812257,30,0.0384426428945197,26,0.097317458178948,28,0.0865188656063275,24,51.330469276154,71,0.986300368598351,72,0.986283855446366,71,13.22875,73,13.3879166666666,73,12.75125,70.5,51.4397191747201,71,0.75,6.5,496.4167,24,7.9565,60,0.7826,59,12,12,0.163265306122449,10,0.2737,17,0.0106,6
"L010",54.225,16,4.98863586711811,1,5.46177008382212,2,-0.239630602556999,2,21.9525,1,1.41357028449347,100,99.5093508925003,35,100.781749768918,24,NA,14,200.196388995299,100,0.711143597833032,0.30379108821311,67,0.97005646026766,86,0.815391006197534,104,0.247701065944568,89,0.776974508043737,89,3.52761394715309,96,2.04224339981031,100,0.418768424642916,104,0.0584556644926365,104,4.17075810406875,100,0.26458921887789,92,1.29274956727516,93,1.46029641003125,103,0.16477134285725,100,0.418460489422116,97,0.387509493415454,97,54.0948259034917,16,1.03842434235028,16,1.03804469611839,16,3.668125,16,4.82041666666666,17,0.211249999999999,4,54.1730362539043,16,9.75,77,2275.2292,93,3.3102,40,0.3435,36,38.875,91,2.77678571428571,95,2.8006,92,0.661,94
"L011",54.3375,15,5.54215987934589,3,6.09848445142991,7,-0.143853589437156,7,27.206875,4,1.23294561957055,95,99.9963542685023,28,101.048057932421,20,NA,15,174.686628626186,95,0.779845563001441,0.774326752484714,91,0.941249890532557,98,0.448107238905,94,0.362049715903406,99,1.13577279057909,99,3.41783830612742,94,1.90769619254366,95,0.23662272339222,88,0.0186634377418503,88,3.63930476304557,95,0.36224566638314,99,1.19206458666447,91,0.890348940303258,92,0.14950729220456,96,0.418513188977772,98,0.395308343265372,98,54.1867408525279,15,1.04034856922857,15,1.04001923208134,15,3.1315625,15,4.09375,16,0.245000000000002,5,54.2738903486146,15,11.5,84.5,2483.3333,96,1.779,32,0.2431,29,42,96,2.70967741935484,94,2.9763,95,0.7931,96
"L012",55.6375,2,6.04693949773191,8,7.04815863024116,35,-0.0181460911784993,35,33.956875,17,0.364855173301211,67,103.944233343582,2,104.120595471883,2,NA,16,52.0855471376881,67,0.890325177069295,0.264430612974115,64,0.98296031052634,68,0.175029745878563,68,0.140037700790825,59,0.439096232011344,59,1.88882767859707,71,1.04168880447497,67,0.171354964756883,66,0.00978750798227755,66,1.0851155653685,67,0.141423082019349,59,0.960202374450038,80,0.661996733447965,74,0.0835362671664836,68,0.214811489424129,65,0.198677395421747,63,55.4494666006024,2,1.0647502514668,2,1.06461288367505,2,0.910312499999999,3,1.20333333333333,3,0.03125,2,55.5585257703794,2,5,51,1485.5625,70,0.1445,3,0.0738,3,31.625,76,9.03571428571429,101,9.8901,102,1.4815,101
"L013",52.225,47,7.95291958217653,84,7.9459294530651,93,0.0859919786052477,93,51.7525,85,0.202425581807091,44,98.3527293485267,52,99.7987396763166,33,NA,17,29.145490985134,44,1.10730850762477,0.0362819357455792,21,0.997636495801394,19,0.0809124354690074,37,0.135678529926512,57,0.425584299703539,57,1.28286003406122,45,0.779228932250949,44,0.104971128530412,34,0.00367297927498273,34,0.607197728856955,44,0.135719769683859,56,0.591328259125618,49,0.424503249714981,37,0.0668679455588023,53,0.182909196317149,57,0.165580407004531,54,51.9662697014259,50,0.998849956690229,47,0.998802308107455,47,9.961875,46,9.28083333333333,42,12.005,65,52.0946628208535,47,4.0833,40,829.5625,40.5,8.1065,61,0.6237,52,20.375,39.5,0.482248520710059,60,0.5321,61,0.0871,47
"L014",53.175,26,7.25610216106082,56,7.57497500035987,74,0.0444649765451325,74,44.6625,64,0.352463012855163,66,99.9564997375607,31,99.501804948852,36,NA,18,50.3353927854613,66,1.0178786426108,0.492720466938989,79,0.976821845767176,78,0.242167130803867,78,0.0804652182732977,35,0.252423949035534,35,1.58952601878571,56,1.02403809321908,66,0.241840526020503,90,0.0194956133419579,90,1.04865401636377,66,0.0995882861729822,44,0.539507137142091,45,0.648481567958683,73,0.0617127315079342,47,0.149748364003275,47,0.142323144419068,45,52.949834625074,26,1.01731138052628,26,1.01724786695784,26,6.23437499999999,27,6.49749999999999,27,5.44499999999999,29.5,53.066218345033,26,15.0833,102,1525.2292,71,5.1498,49,0.443,39,27.625,66,1.105,82,1.1972,82,0.5339,92
"L015",50.2125,95,7.17016335169114,45,6.51026669306061,17,-0.0870998715996657,17,38.886875,29,0.750219913308822,88,93.5425171909407,93,93.0547765940728,98,NA,19,106.510905803376,88,0.935401205960742,0.996753123087655,96,0.947456317183603,97,0.332509201328913,87,0.216779324446627,81,0.679769457859707,81,2.48882767859704,86,1.48962317524836,88,0.224658989401479,86,0.0168238871729646,86,2.21897720423699,88,0.216817050456767,80,1.38627561456068,97,0.802463493763564,86,0.116583094573423,86,0.309646034953194,85,0.289849419678147,86,50.0169323620158,94,0.961030620115344,94,0.960896153846182,94,21.4821875,96,22.3391666666667,96,18.91125,91,50.1108923823707,94,3.4167,36.5,1655.1667,81,17.6923,86,2,93,32.25,77,0.341269841269841,35,0.383,31,0.0371,22
"L016",51.7375,67.5,7.53366328034292,68,7.3571335745388,65,0.019119850933195,65,45.576875,68,0.0423626113268175,13,98.1908796525113,56,98.518395065845,53,NA,20,6.53967453884236,13,1.0395702253514,0.0102783745269954,6,0.998457328884417,12,0.021860603116989,13,0.0481488299161311,16,0.150955441914641,16,0.711172321402955,15,0.369111391803636,13,0.0598395191950874,11,0.00119358935249974,11,0.136243219559217,13,0.0484153086960699,13,0.35746709430511,26,0.213753039043551,11,0.026906929167417,11,0.0687278146322003,12,0.0585604397904536,12,51.5083815064126,67,0.989790002360025,68,0.989777074341107,68,12.1440625,66,12.1083333333333,65,12.25125,66.5,51.6223094419192,68,1.5,16.5,299.8333,13,3.3761,41,0.4955,45,14.5,22,0.22568093385214,15,0.2357,12,0.0236,14
"L017",51.725,69,8.18500572322866,89,7.98851303447575,95,0.0906344650851215,95,53.7725,90,0.282698414624431,55,97.062377629661,75,98.2043228033528,59,NA,21,40.4824849122588,55,1.12848981922108,0.0492206143009299,24,0.997244044666876,22,0.141122799917833,59,0.114669404326817,50,0.359502940404861,50,1.66117232140293,60,0.918360006935587,55,0.156468450691761,62,0.00816079202062672,62,0.843385102338732,55,0.116310831706375,50,0.87042385765491,73,0.566499717541942,57,0.0671464835503353,54,0.168949033897926,53,0.147664605296185,48,51.4597245327919,69,0.989242402739427,69,0.989171055124687,69,12.188125,68,11.3908333333333,57,14.58,76.5,51.5888571279993,69,3,32.5,1087.0625,51,15.3294,80,1.1529,78.5,26.875,65,0.419921875,47,0.4569,47,0.048,26
"L018",51.8875,61,7.11794107573797,41,7.00031718905166,30,-0.0240619939430565,30,40.921875,38,0.00278077078295861,1,99.0686219652941,37,99.0354123989306,43,NA,22,0.949500751263638,1,0.98567880922567,-0.0193041764134868,14,0.999727651122519,3,0.00282283888257733,1,0.0247108489182914,3,0.0775202808077265,3,0.21783830612745,1,0.14064588743126,1,0.0212435151314904,1,0.000150428978380621,1,0.0197812656513266,1,0.0249729576634722,2,0.0834127016949836,1,0.0778245849996999,1,0.0109564452514496,1,0.0297400939292923,2,0.0295592188802556,2,51.679220152656,61,0.99284337863677,61,0.992842563729378,61,11.4503125,61,11.8920833333333,62,10.125,56.5,51.7846673838065,61,1.25,12,46.7292,1,0.9387,23,0.2621,30,5.125,1,0.0833333333333333,1,0.0969,1,0.0204,12.5
